scenario,seed,avg_wait,avg_travel_time,avg_queue,p95_queue,completed_trips,throughput,gridlock_duration,gridlock_events,policy_inference_latency_ms,cpu_usage,peak_memory_mb,failed,incomplete,steps,gridlock_pct,fail_reason,spawned,final_vehicles
normal,1000,4.126874191012513,83.38906752411576,0.14900173611111112,0.9474999999999992,311,0.8638888888888889,0.0,0,0.01264228846290886,99.42666666666666,718.40234375,False,False,360,0.0,,441,130
normal,1001,4.284907424091856,86.58308157099698,0.15559895833333334,0.9211111111111105,331,0.9194444444444444,0.0,0,0.012932253513200622,100.22694444444444,718.43359375,False,False,360,0.0,,476,145
normal,1002,4.160635283084051,86.1128526645768,0.15334201388888888,0.921805555555555,319,0.8861111111111111,0.0,0,0.011312567029462015,100.7275,718.453125,False,False,360,0.0,,444,125
normal,1003,4.231536466897481,84.01823708206688,0.14370659722222223,0.8984722222222217,329,0.9138888888888889,0.0,0,0.010268935855290491,99.23527777777777,718.4609375,False,False,360,0.0,,445,116
normal,1004,4.517003199874359,92.14465408805032,0.16640625,1.0006944444444434,318,0.8833333333333333,0.0,0,0.010690655967159223,100.08027777777778,718.484375,False,False,360,0.0,,450,132
normal,1005,3.972281837555421,79.82890855457227,0.15069444444444444,0.9487499999999992,339,0.9416666666666667,0.0,0,0.01093143122893202,100.09444444444445,718.50390625,False,False,360,0.0,,471,132
normal,1006,4.6197804837039484,89.84516129032258,0.16440972222222222,0.9987499999999992,310,0.8611111111111112,0.0,0,0.01106412818343314,100.31777777777778,718.51953125,False,False,360,0.0,,433,123
normal,1007,3.9286220180126827,78.66381766381767,0.15269097222222222,0.910416666666666,351,0.975,0.0,0,0.011251348981507666,101.54527777777778,718.53515625,False,False,360,0.0,,483,132
normal,1008,3.898988892275913,81.28353658536585,0.148046875,0.9186111111111105,328,0.9111111111111111,0.0,0,0.011360968033437125,100.63583333333334,718.55078125,False,False,360,0.0,,451,123
normal,1009,4.023118448019102,82.07594936708861,0.13463541666666667,0.8745833333333327,316,0.8777777777777778,0.0,0,0.011424314814373955,99.6936111111111,718.5546875,False,False,360,0.0,,452,136
normal,1010,3.904703361906717,82.6,0.1482638888888889,0.9133333333333326,320,0.8888888888888888,0.0,0,0.010869066308158735,100.65694444444445,718.57421875,False,False,360,0.0,,450,130
normal,1011,4.967540033739888,86.66363636363636,0.173828125,0.9969444444444436,330,0.9166666666666666,0.0,0,0.011764503202963775,99.3788888888889,718.58984375,False,False,360,0.0,,452,122
normal,1012,4.224642986021257,85.0749279538905,0.16111111111111112,0.9684722222222215,347,0.9638888888888889,0.0,0,0.011078896720088474,99.60166666666666,718.60546875,False,False,360,0.0,,466,119
normal,1013,4.797415114678725,93.78840579710145,0.18159722222222222,1.0481944444444435,345,0.9583333333333334,0.0,0,0.011520252084867226,100.14833333333334,718.625,False,False,360,0.0,,482,137
normal,1014,4.076975821280106,85.01538461538462,0.14066840277777778,0.8972222222222216,325,0.9027777777777778,0.0,0,0.011034115019962579,98.96944444444445,718.63671875,False,False,360,0.0,,445,120
normal,1015,4.385266846669821,84.38855421686748,0.16197916666666667,0.9879166666666663,332,0.9222222222222223,0.0,0,0.010949878995031921,100.12388888888889,718.65234375,False,False,360,0.0,,450,118
normal,1016,4.5381989573518045,90.69669669669669,0.18385416666666668,1.0837499999999989,333,0.925,0.0,0,0.011852948682644637,99.68805555555555,718.6796875,False,False,360,0.0,,491,158
normal,1017,4.597639604081853,88.45845272206304,0.16766493055555556,1.0124999999999993,349,0.9694444444444444,0.0,0,0.010715024351763228,98.80416666666666,718.6953125,False,False,360,0.0,,459,110
normal,1018,4.533355118381353,87.77844311377245,0.16067708333333333,0.9313888888888883,334,0.9277777777777778,0.0,0,0.011011131603784937,100.10194444444444,718.69921875,False,False,360,0.0,,455,121
normal,1019,3.931203386872812,80.10397553516819,0.15486111111111112,0.9131944444444439,327,0.9083333333333333,0.0,0,0.012322152603398232,100.09722222222223,718.71484375,False,False,360,0.0,,469,142
high_demand,1000,5.703375300923255,89.13419913419914,0.42552083333333335,2.0390277777777763,693,1.925,0.0,0,0.013177164358542845,98.61638888888889,718.80859375,False,False,360,0.0,,959,266
high_demand,1001,5.630396422472877,90.93741307371349,0.4463107638888889,2.1118055555555544,719,1.9972222222222222,0.0,0,0.011345074431624703,100.28333333333333,718.84375,False,False,360,0.0,,1029,310
high_demand,1002,5.2725673416098,87.01390820584145,0.43506944444444445,2.0616666666666656,719,1.9972222222222222,0.0,0,0.01137960179120354,99.06611111111111,718.875,False,False,360,0.0,,1031,312
high_demand,1003,5.026095343519195,84.71946308724833,0.41293402777777777,2.076249999999999,745,2.0694444444444446,0.0,0,0.01143374597126644,100.30361111111112,718.890625,False,False,360,0.0,,1020,275
high_demand,1004,5.428327342312594,91.63310344827586,0.4482638888888889,2.1651388888888876,725,2.013888888888889,0.0,0,0.011399464670426419,100.14222222222222,718.89453125,False,False,360,0.0,,1017,292
high_demand,1005,4.986949673736244,87.38056680161944,0.42803819444444446,2.009999999999999,741,2.058333333333333,0.0,0,0.012378440320996257,100.26833333333333,718.9140625,False,False,360,0.0,,1040,299
high_demand,1006,5.409193385152627,88.32219251336899,0.4618055555555556,2.183055555555554,748,2.077777777777778,0.0,0,0.011203385383851128,99.75222222222223,718.9453125,False,False,360,0.0,,1073,325
high_demand,1007,5.9823030317562935,95.80577427821522,0.5094184027777777,2.343888888888888,762,2.1166666666666667,0.0,0,0.011164657967634007,100.90722222222222,718.97265625,False,False,360,0.0,,1065,303
high_demand,1008,4.94391287637601,85.39300134589502,0.3904947916666667,1.9045833333333324,743,2.063888888888889,0.0,0,0.01096835083242493,99.71361111111112,718.9765625,False,False,360,0.0,,1025,282
high_demand,1009,5.230062517242931,90.79419889502762,0.4460503472222222,2.1613888888888875,724,2.011111111111111,0.0,0,0.011100276474785965,100.1225,718.984375,False,False,360,0.0,,1027,303
high_demand,1010,5.44757761153112,91.15143246930423,0.44869791666666664,2.123888888888888,733,2.036111111111111,0.0,0,0.011000600089674763,99.82277777777777,719.0078125,False,False,360,0.0,,1038,305
high_demand,1011,5.417214899948259,93.09103078982596,0.4424045138888889,2.09111111111111,747,2.075,0.0,0,0.01122227827686907,100.54138888888889,719.0234375,False,False,360,0.0,,1014,267
high_demand,1012,5.210574473654838,88.78212290502793,0.4278645833333333,2.053333333333332,716,1.988888888888889,0.0,0,0.010830581969558908,99.96361111111112,719.03125,False,False,360,0.0,,1010,294
high_demand,1013,5.252319956056776,89.87389659520807,0.47825520833333335,2.2205555555555545,793,2.202777777777778,0.0,0,0.011730056859151874,98.96027777777778,719.0546875,False,False,360,0.0,,1116,323
high_demand,1014,5.427111365022094,90.64153627311522,0.4370659722222222,2.0640277777777767,703,1.9527777777777777,0.0,0,0.01084748330160639,100.16166666666666,719.0703125,False,False,360,0.0,,1016,313
high_demand,1015,5.559304247705836,89.19261213720317,0.4875434027777778,2.2872222222222205,758,2.1055555555555556,0.0,0,0.0114463631891542,100.3711111111111,719.09375,False,False,360,0.0,,1065,307
high_demand,1016,5.496451609176034,88.77493261455525,0.45121527777777776,2.2283333333333317,742,2.061111111111111,0.0,0,0.011031957152833153,100.1311111111111,719.09765625,False,False,360,0.0,,1020,278
high_demand,1017,5.444589352721358,89.17527173913044,0.465234375,2.2026388888888877,736,2.0444444444444443,0.0,0,0.011488546392178655,98.90722222222222,719.11328125,False,False,360,0.0,,1048,312
high_demand,1018,5.322423833374441,89.39484396200814,0.43875868055555556,2.1459722222222206,737,2.047222222222222,0.0,0,0.010988398056118362,100.03222222222222,719.125,False,False,360,0.0,,1039,302
high_demand,1019,5.326248432787372,89.00944669365722,0.43758680555555557,2.0868055555555545,741,2.058333333333333,0.0,0,0.010919929617456445,100.00194444444443,719.12890625,False,False,360,0.0,,1025,284
sudden_surge,1000,5.279598246614632,88.09825327510917,0.25763888888888886,1.4383333333333324,458,1.2722222222222221,0.0,0,0.010663485803282432,100.60444444444444,719.13671875,False,False,360,0.0,,603,145
sudden_surge,1001,5.113074112012008,91.29004329004329,0.2638888888888889,1.3974999999999989,462,1.2833333333333334,0.0,0,0.010868697972910013,99.85416666666667,719.13671875,False,False,360,0.0,,631,169
sudden_surge,1002,5.025177501942102,91.76718403547672,0.25047743055555555,1.380833333333332,451,1.2527777777777778,0.0,0,0.010820414223012954,99.93027777777777,719.13671875,False,False,360,0.0,,584,133
sudden_surge,1003,4.921644061241366,89.11839323467231,0.2526909722222222,1.4144444444444433,473,1.3138888888888889,0.0,0,0.010547680388602506,99.26805555555555,719.15234375,False,False,360,0.0,,611,138
sudden_surge,1004,5.119092385183932,94.3146551724138,0.2633246527777778,1.4424999999999986,464,1.288888888888889,0.0,0,0.010987061796186026,98.92861111111112,719.16796875,False,False,360,0.0,,598,134
sudden_surge,1005,4.710085426712423,85.35860655737704,0.241796875,1.3719444444444435,488,1.3555555555555556,0.0,0,0.010285966042526221,99.73305555555557,719.17578125,False,False,360,0.0,,621,133
sudden_surge,1006,5.049869989028342,91.95289079229121,0.246875,1.3618055555555546,467,1.2972222222222223,0.0,0,0.011464827669745622,100.82694444444444,719.1953125,False,False,360,0.0,,601,134
sudden_surge,1007,4.7816457572965865,86.13207547169812,0.2533420138888889,1.3666666666666658,477,1.325,0.0,0,0.010635150647431146,100.00944444444445,719.2109375,False,False,360,0.0,,626,149
sudden_surge,1008,4.67137744053593,87.12288135593221,0.2381076388888889,1.36236111111111,472,1.3111111111111111,0.0,0,0.011382466780358098,101.015,719.21875,False,False,360,0.0,,604,132
sudden_surge,1009,4.906039694495673,88.46485260770974,0.2408420138888889,1.3145833333333323,441,1.225,0.0,0,0.010478646688877942,100.445,719.23828125,False,False,360,0.0,,596,155
sudden_surge,1010,4.6207667616183175,86.72009029345372,0.231640625,1.33611111111111,443,1.2305555555555556,0.0,0,0.011412739725831974,99.5925,719.24609375,False,False,360,0.0,,596,153
sudden_surge,1011,5.182191819038511,92.4989010989011,0.25360243055555554,1.3602777777777768,455,1.2638888888888888,0.0,0,0.010642354613486936,100.03972222222222,719.265625,False,False,360,0.0,,584,129
sudden_surge,1012,4.834199082290733,88.0796645702306,0.2300347222222222,1.3284722222222212,477,1.325,0.0,0,0.01179020436110376,99.37055555555555,719.28125,False,False,360,0.0,,595,118
sudden_surge,1013,5.465060531026406,96.69214876033058,0.29366319444444444,1.5916666666666657,484,1.3444444444444446,0.0,0,0.010906147963396506,99.20138888888889,719.3125,False,False,360,0.0,,639,155
sudden_surge,1014,4.772036119031748,88.47537473233405,0.23346354166666666,1.2955555555555545,467,1.2972222222222223,0.0,0,0.010591823441548817,99.79666666666668,719.3203125,False,False,360,0.0,,593,126
sudden_surge,1015,5.068016605209325,89.01923076923077,0.24813368055555557,1.3399999999999994,468,1.3,0.0,0,0.01161807968957065,100.86138888888888,719.328125,False,False,360,0.0,,608,140
sudden_surge,1016,5.002076487203049,92.78354978354979,0.2776909722222222,1.4905555555555547,462,1.2833333333333334,0.0,0,0.011001997689971985,99.43611111111112,719.34375,False,False,360,0.0,,627,165
sudden_surge,1017,5.429919914608781,90.10569105691057,0.26675347222222223,1.5052777777777768,492,1.3666666666666667,0.0,0,0.011415726092107233,101.25166666666667,719.36328125,False,False,360,0.0,,616,124
sudden_surge,1018,5.014054198226532,89.04086021505377,0.24427083333333333,1.3515277777777768,465,1.2916666666666667,0.0,0,0.010608275351842167,100.06194444444445,719.3671875,False,False,360,0.0,,598,133
sudden_surge,1019,5.043466532047244,86.70039682539682,0.2732204861111111,1.482222222222221,504,1.4,0.0,0,0.011969465291864859,99.69333333333333,719.375,False,False,360,0.0,,638,134
uneven,1000,4.922689755325937,88.50429799426934,0.17782118055555557,1.0068055555555548,349,0.9694444444444444,0.0,0,0.011119241985903095,100.12777777777778,719.38671875,False,False,360,0.0,,501,152
uneven,1001,4.314023877687137,83.72564102564102,0.18841145833333334,1.1191666666666658,390,1.0833333333333333,0.0,0,0.010819319848249305,99.65,719.39453125,False,False,360,0.0,,556,166
uneven,1002,4.440995328232933,90.37465564738292,0.18854166666666666,1.0886111111111103,363,1.0083333333333333,0.0,0,0.012708862383684997,99.065,719.40625,False,False,360,0.0,,510,147
uneven,1003,4.158258304707595,86.71549295774648,0.16497395833333334,0.989166666666666,355,0.9861111111111112,0.0,0,0.011111680184209641,101.36416666666666,719.4140625,False,False,360,0.0,,507,152
uneven,1004,4.8345916413343035,98.04032258064517,0.21571180555555555,1.196249999999999,372,1.0333333333333334,0.0,0,0.010758864532868352,99.38416666666667,719.42578125,False,False,360,0.0,,520,148
uneven,1005,4.160042546041364,85.22680412371135,0.1876736111111111,1.0683333333333325,388,1.0777777777777777,0.0,0,0.01128055061296133,100.10166666666666,719.44140625,False,False,360,0.0,,550,162
uneven,1006,4.5374036335224845,86.77925531914893,0.18333333333333332,1.0620833333333324,376,1.0444444444444445,0.0,0,0.010735514772224834,100.17583333333334,719.44921875,False,False,360,0.0,,506,130
uneven,1007,3.9919791086598364,81.42359249329759,0.17899305555555556,1.0593055555555546,373,1.0361111111111112,0.0,0,0.011111796114467628,99.16999999999999,719.46875,False,False,360,0.0,,530,157
uneven,1008,4.727690666619363,88.06182795698925,0.19366319444444444,1.0977777777777769,372,1.0333333333333334,0.0,0,0.010654703469804695,99.805,719.48046875,False,False,360,0.0,,511,139
uneven,1009,4.41962007635592,88.85522788203754,0.18650173611111112,1.0686111111111105,373,1.0361111111111112,0.0,0,0.010787565911919551,100.31916666666667,719.4921875,False,False,360,0.0,,531,158
uneven,1010,3.9625033929478604,85.3288043478261,0.16896701388888888,1.04111111111111,368,1.0222222222222221,0.0,0,0.01051665191577437,99.71222222222222,719.5078125,False,False,360,0.0,,506,138
uneven,1011,4.777069376187296,90.25205479452055,0.18489583333333334,1.0609722222222213,365,1.0138888888888888,0.0,0,0.010575512280613313,100.45777777777779,719.51953125,False,False,360,0.0,,506,141
uneven,1012,4.471518581891957,85.84878048780487,0.1915798611111111,1.1347222222222213,410,1.1388888888888888,0.0,0,0.010790457043994037,100.68277777777779,719.53125,False,False,360,0.0,,533,123
uneven,1013,4.841613741924141,90.78851174934726,0.191796875,1.1143055555555545,383,1.0638888888888889,0.0,0,0.010732738863023568,99.90666666666667,719.55078125,False,False,360,0.0,,540,157
uneven,1014,5.231556503426063,86.57731958762886,0.20768229166666666,1.164999999999999,388,1.0777777777777777,0.0,0,0.010702197161865316,100.2825,719.5703125,False,False,360,0.0,,525,137
uneven,1015,4.761579564893715,87.50140056022408,0.19613715277777777,1.1159722222222213,357,0.9916666666666667,0.0,0,0.011683628064121068,99.49972222222223,719.5859375,False,False,360,0.0,,517,160
uneven,1016,4.984756693089532,90.07894736842105,0.2279079861111111,1.292499999999999,380,1.0555555555555556,0.0,0,0.010501349738155518,100.12555555555555,719.609375,False,False,360,0.0,,554,174
uneven,1017,4.5408135967437175,89.95212765957447,0.18246527777777777,1.0919444444444435,376,1.0444444444444445,0.0,0,0.010432534276737392,100.5825,719.62109375,False,False,360,0.0,,521,145
uneven,1018,4.406560744028408,86.96825396825396,0.18953993055555557,1.0773611111111103,378,1.05,0.0,0,0.010826030534695342,99.10722222222222,719.6328125,False,False,360,0.0,,523,145
uneven,1019,4.353035098611637,87.6,0.19422743055555555,1.1398611111111099,380,1.0555555555555556,0.0,0,0.010970667669122728,100.24777777777777,719.640625,False,False,360,0.0,,522,142
